Id;Name;Rank;Lat;Lon
1;Rozhodci_001;2;50.0755;14.4378
2;Rozhodci_002;3;49.1951;16.6068
3;Rozhodci_003;2;49.8209;18.2625
4;Rozhodci_004;3;49.7384;13.3736
5;Rozhodci_005;2;50.7663;15.0543
6;Rozhodci_006;3;49.5938;17.2509
7;Rozhodci_007;2;50.2092;15.8328
8;Rozhodci_008;3;50.0343;15.7812
9;Rozhodci_009;2;48.9745;14.4742
10;Rozhodci_010;3;49.2265;17.6677
11;Rozhodci_011;2;49.3961;15.5896
12;Rozhodci_012;3;50.2332;12.871
13;Rozhodci_013;2;50.6607;14.0323
14;Rozhodci_014;3;48.8555;16.0488
15;Rozhodci_015;2;49.4556;17.4519
16;Rozhodci_016;3;50.0755;14.4378
17;Rozhodci_017;2;49.1951;16.6068
18;Rozhodci_018;3;49.8209;18.2625
19;Rozhodci_019;2;49.7384;13.3736
20;Rozhodci_020;3;50.7663;15.0543
21;Rozhodci_021;2;49.5938;17.2509
22;Rozhodci_022;3;50.2092;15.8328
23;Rozhodci_023;2;50.0343;15.7812
24;Rozhodci_024;3;48.9745;14.4742
25;Rozhodci_025;2;49.2265;17.6677
26;Rozhodci_026;3;49.3961;15.5896
27;Rozhodci_027;2;50.2332;12.871
28;Rozhodci_028;3;50.6607;14.0323
29;Rozhodci_029;2;48.8555;16.0488
30;Rozhodci_030;3;49.4556;17.4519
31;Rozhodci_031;2;50.0755;14.4378
32;Rozhodci_032;3;49.1951;16.6068
33;Rozhodci_033;2;49.8209;18.2625
34;Rozhodci_034;3;49.7384;13.3736
35;Rozhodci_035;2;50.7663;15.0543
36;Rozhodci_036;3;49.5938;17.2509
37;Rozhodci_037;2;50.2092;15.8328
38;Rozhodci_038;3;50.0343;15.7812
39;Rozhodci_039;2;48.9745;14.4742
40;Rozhodci_040;3;49.2265;17.6677
41;Rozhodci_041;2;49.3961;15.5896
42;Rozhodci_042;3;50.2332;12.871
43;Rozhodci_043;2;50.6607;14.0323
44;Rozhodci_044;3;48.8555;16.0488
45;Rozhodci_045;2;49.4556;17.4519
46;Rozhodci_046;3;50.0755;14.4378
47;Rozhodci_047;2;49.1951;16.6068
48;Rozhodci_048;3;49.8209;18.2625
49;Rozhodci_049;2;49.7384;13.3736
50;Rozhodci_050;3;50.7663;15.0543
51;Rozhodci_051;2;49.5938;17.2509
52;Rozhodci_052;3;50.2092;15.8328
53;Rozhodci_053;2;50.0343;15.7812
54;Rozhodci_054;3;48.9745;14.4742
55;Rozhodci_055;2;49.2265;17.6677
56;Rozhodci_056;3;49.3961;15.5896
57;Rozhodci_057;2;50.2332;12.871
58;Rozhodci_058;3;50.6607;14.0323
59;Rozhodci_059;2;48.8555;16.0488
60;Rozhodci_060;3;49.4556;17.4519
61;Rozhodci_061;2;50.0755;14.4378
62;Rozhodci_062;3;49.1951;16.6068
63;Rozhodci_063;2;49.8209;18.2625
64;Rozhodci_064;3;49.7384;13.3736
