Id;Name;Rank;Lat;Lon
1;Ref_Centr_01;95;49.3972;16.2411
2;Ref_Centr_02;95;49.4557;16.3766
3;Ref_Centr_03;85;49.3769;16.0986
4;Ref_Centr_04;100;49.5151;16.0165
5;Ref_Centr_05;85;49.4177;16.4526
6;Ref_006;60;50.0549;14.5671
7;Ref_007;60;50.0835;14.5212
8;Ref_008;55;50.1206;14.143
9;Ref_009;50;50.2124;14.314
10;Ref_010;65;50.0048;14.5482
11;Ref_011;75;49.9703;14.4824
12;Ref_012;85;49.9516;14.3925
13;Ref_013;95;49.144;16.5176
14;Ref_014;85;49.0775;16.601
15;Ref_015;50;49.2182;16.7952
16;Ref_016;90;49.1139;16.6205
17;Ref_017;80;49.5311;16.6884
18;Ref_018;60;49.2724;16.6967
19;Ref_019;75;49.5644;18.2112
20;Ref_020;90;49.499;18.4323
21;Ref_021;90;50.075;18.1542
22;Ref_022;60;50.0845;18.0357
23;Ref_023;70;49.6412;18.3705
24;Ref_024;75;49.6176;13.2707
25;Ref_025;95;49.9029;13.1751
26;Ref_026;60;49.6977;13.3466
27;Ref_027;55;49.7968;13.5164
28;Ref_028;80;49.5745;17.0103
29;Ref_029;95;49.7415;17.8251
30;Ref_030;55;49.713;17.3621
31;Ref_031;90;49.5337;17.1996
32;Ref_032;70;50.5616;15.1835
33;Ref_033;50;50.7496;15.3176
34;Ref_034;85;50.6145;15.3329
35;Ref_035;95;50.7235;14.9378
