Id;Name;Rank;Lat;Lon
1;Baloun Jan;85;50.0755;14.4378
2;Vyklický Robert;84;49.1865;14.6992
3;Hruša Petr;81;50.0343;15.7812
4;Matějek Ivor;80;50.0343;15.7812
5;Blahout Petr;74;50.0343;15.7812
6;Kučírek Martin;71;49.1578;15.818
7;Salvetr Rudolf;68;49.3956;13.2951
8;Pokorný Štěpán;63;49.9524;15.2687
9;Vošahlík Marek;60;49.5938;17.2509
10;Scholze Michal;57;50.0343;15.7812
11;Vávrová Veronika;43;49.5938;17.2509
12;Pazourek Jaroslav;41;50.0755;14.4378
13;Hartig Lukáš;36;49.9524;15.2687
14;Kremser Jakub;32;49.9391;17.9024
15;Linhart Tomáš;29;50.0755;14.4378
16;Kec Jakub;29;50.0755;14.4378
17;Kavan Jonáš;26;50.0755;14.4378
18;Ulrych Lukáš;26;50.7671;15.0562
19;Kurz Vlastimil;26;50.0755;14.4378
20;Melichárek Ivo;25;50.0343;15.7812
21;Jeřáb Jan;24;50.0755;14.4378
22;Petrák Robin;22;49.2979;17.3931
23;Karafiát Kamil;21;49.5938;17.2509
24;Dombrovský Filip;20;49.8209;18.2625
25;Bohata Pavel;18;49.9524;15.2687
26;Perlík Michal;18;49.7384;13.3736
27;Zatloukal Ondřej;18;49.5938;17.2509
28;Musil Jan;18;50.0755;14.4378
29;Renc Jan;16;50.1473;14.1029
30;Nahrada;85;49.9391;17.9026
