Referee;From;To;Rank;RequiredRank;RankDiff;TravelDistance;TravelTime;TravelFrom;TravelTo;TravelFromHome
Referee 34;01.03.2025 08:11;01.03.2025 10:11;93;74;19;132.61;2.32;49,74750° N, 13,37760° E;49,08300° N, 14,43530° E;True
Referee 3;01.03.2025 08:14;01.03.2025 10:14;49;41;8;232.59;3.07;50,43700° N, 15,35100° E;49,08300° N, 14,43530° E;True
Referee 20;01.03.2025 08:15;01.03.2025 10:15;92;99;7;141.53;2.26;49,39610° N, 15,59120° E;50,43700° N, 15,35100° E;True
Referee 9;01.03.2025 08:29;01.03.2025 10:29;51;40;11;191.48;2.66;49,96400° N, 16,97000° E;50,43700° N, 15,35100° E;True
Referee 17;01.03.2025 09:34;01.03.2025 11:34;68;50;18;51.62;0.97;50,68550° N, 14,53760° E;50,66070° N, 14,03230° E;True
Referee 14;01.03.2025 09:46;01.03.2025 11:46;74;68;6;19.53;0.33;49,45850° N, 17,13800° E;49,59380° N, 17,25090° E;True
Referee 16;01.03.2025 11:41;01.03.2025 13:41;79;77;2;43.91;0.51;50,07370° N, 12,37300° E;50,23190° N, 12,87170° E;True
Referee 28;01.03.2025 12:48;01.03.2025 14:48;51;56;5;135.91;1.91;49,08300° N, 14,43530° E;49,39610° N, 15,59120° E;True
Referee 4;01.03.2025 13:17;01.03.2025 15:17;34;32;2;153.2;2.12;49,45850° N, 17,13800° E;50,03430° N, 15,78120° E;True
Referee 35;01.03.2025 14:12;01.03.2025 16:12;26;21;5;37.11;0.6;49,94800° N, 17,90700° E;49,82090° N, 18,26250° E;True
Referee 20;01.03.2025 14:32;01.03.2025 16:32;92;88;4;0;0;50,43700° N, 15,35100° E;50,43700° N, 15,35100° E;False
Referee 13;01.03.2025 16:26;01.03.2025 18:26;61;44;17;0;0;49,22640° N, 17,67070° E;49,22640° N, 17,67070° E;True
Referee 34;01.03.2025 17:31;01.03.2025 19:31;93;80;13;231.99;3.04;49,08300° N, 14,43530° E;50,43700° N, 15,35100° E;False
Referee 3;02.03.2025 08:25;02.03.2025 10:25;49;48;1;48.82;0.77;50,43700° N, 15,35100° E;50,77000° N, 15,05000° E;True
Referee 7;02.03.2025 08:36;02.03.2025 10:36;92;93;1;46.77;0.88;49,94800° N, 17,90700° E;49,59400° N, 18,01000° E;True
Referee 5;02.03.2025 10:39;02.03.2025 12:39;90;92;2;43.91;0.51;50,07370° N, 12,37300° E;50,23190° N, 12,87170° E;True
Referee 28;02.03.2025 10:51;02.03.2025 12:51;51;44;7;13.38;0.47;49,08300° N, 14,43530° E;48,97470° N, 14,47490° E;True
Referee 2;02.03.2025 14:42;02.03.2025 16:42;62;57;5;2.12;0.06;50,24100° N, 12,87100° E;50,23190° N, 12,87170° E;True
Referee 18;02.03.2025 19:09;02.03.2025 21:09;69;68;1;52.98;0.81;49,94800° N, 17,90700° E;49,68330° N, 18,35000° E;True
Referee 29;02.03.2025 19:49;02.03.2025 21:49;69;46;23;46.77;0.88;49,94800° N, 17,90700° E;49,59400° N, 18,01000° E;True
Referee 11;03.03.2025 08:06;03.03.2025 10:06;76;79;3;46.77;0.88;49,94800° N, 17,90700° E;49,59400° N, 18,01000° E;True
