Referee;From;To;Rank;RequiredRank;Distance
Novák Tomáš;02.02.2026 17:00;02.02.2026 19:00;95;93;0
Novák Tomáš;07.02.2026 10:00;07.02.2026 12:00;95;93;0
Novák Tomáš;08.02.2026 09:00;08.02.2026 11:00;95;90;0
Novák Tomáš;02.02.2026 20:00;02.02.2026 22:00;95;88;0
Kratochvíl Pavel;03.02.2026 18:00;03.02.2026 20:00;82;80;0
Kratochvíl Pavel;07.02.2026 17:00;07.02.2026 19:00;82;80;0
Kratochvíl Pavel;04.02.2026 18:00;04.02.2026 20:00;82;78;0
Kratochvíl Pavel;08.02.2026 09:00;08.02.2026 11:00;82;78;0
Šimánek Jakub;05.02.2026 17:00;05.02.2026 19:00;68;66;0
Šimánek Jakub;07.02.2026 17:00;07.02.2026 19:00;68;65;0
Kratochvíl Pavel;05.02.2026 20:30;05.02.2026 22:30;82;62;67.67
Blažek Martin;06.02.2026 17:00;06.02.2026 19:00;54;52;0
Blažek Martin;07.02.2026 17:00;07.02.2026 19:00;54;52;0
Novák Tomáš;06.02.2026 21:30;06.02.2026 23:30;95;48;88.51
Horáček Jiří;09.02.2026 17:00;09.02.2026 19:00;38;36;0
Blažek Martin;09.02.2026 20:00;09.02.2026 22:00;54;34;72.29
