Id;Name;Rank;Lat;Lon
1;Referee_1;1;49.985;14.37501
2;Referee_2;3;49.23729;16.64534
3;Referee_3;1;50.0981;14.32636
4;Referee_4;3;49.13653;16.6304
5;Referee_5;2;49.2332;16.65026
6;Referee_6;1;49.17984;16.56564
7;Referee_7;1;49.22963;16.57805
8;Referee_8;1;49.28144;16.57732
9;Referee_9;3;49.74934;18.3495
10;Referee_10;3;49.80143;13.41595
11;Referee_11;3;50.17462;14.39571
12;Referee_12;2;49.80588;13.3937
13;Referee_13;1;49.23091;16.51916
14;Referee_14;1;49.83704;13.44106
15;Referee_15;2;49.78559;18.30714
16;Referee_16;2;49.16404;16.5519
17;Referee_17;1;50.10183;14.35423
18;Referee_18;3;49.18245;16.56399
19;Referee_19;1;49.22692;16.67857
20;Referee_20;2;49.25436;16.67101
21;Referee_21;3;49.65324;13.45263
22;Referee_22;2;49.68253;13.36985
23;Referee_23;3;49.14298;16.55933
24;Referee_24;3;49.7894;13.35569
25;Referee_25;1;49.8024;18.37947
26;Referee_26;1;49.74818;18.18942
27;Referee_27;2;49.21549;16.66842
28;Referee_28;2;50.05695;14.43918
29;Referee_29;1;49.83422;13.44216
30;Referee_30;2;50.11634;14.42739
31;Referee_31;2;49.66231;13.35695
32;Referee_32;2;50.17076;14.49517
33;Referee_33;2;49.19154;16.53128
34;Referee_34;3;49.12057;16.6625
35;Referee_35;1;50.09979;14.41772
36;Referee_36;2;49.81574;13.43633
37;Referee_37;1;49.10159;16.6856
38;Referee_38;3;50.12638;14.4832
39;Referee_39;3;49.11568;16.60506
40;Referee_40;2;49.14301;16.68449
