Id;Name;Rank;Lat;Lon
1;Referee_1;1;50.0166;14.3868
2;Referee_2;3;49.2306;16.6333
3;Referee_3;1;50.1014;14.3503
4;Referee_4;3;49.1550;16.6221
5;Referee_5;2;49.2275;16.6370
6;Referee_6;1;49.1875;16.5735
7;Referee_7;1;49.2248;16.5828
8;Referee_8;1;49.2637;16.5823
9;Referee_9;3;49.7604;18.3146
10;Referee_10;3;49.7845;13.4081
11;Referee_11;3;50.1588;14.4023
12;Referee_12;2;49.7878;13.3914
13;Referee_13;1;49.2258;16.5387
14;Referee_14;1;49.8112;13.4269
15;Referee_15;2;49.7876;18.2829
16;Referee_16;2;49.1756;16.5632
17;Referee_17;1;50.1042;14.3712
18;Referee_18;3;49.1894;16.5723
19;Referee_19;1;49.2228;16.6582
20;Referee_20;2;49.2434;16.6526
21;Referee_21;3;49.6733;13.4356
22;Referee_22;2;49.6953;13.3735
23;Referee_23;3;49.1598;16.5688
24;Referee_24;3;49.7755;13.3629
25;Referee_25;1;49.8002;18.3371
26;Referee_26;1;49.7595;18.1946
27;Referee_27;2;49.2142;16.6506
28;Referee_28;2;50.0705;14.4349
29;Referee_29;1;49.8091;13.4277
30;Referee_30;2;50.1151;14.4260
31;Referee_31;2;49.6801;13.3638
32;Referee_32;2;50.1559;14.4769
33;Referee_33;2;49.1963;16.5478
34;Referee_34;3;49.1430;16.6462
35;Referee_35;1;50.1026;14.4188
36;Referee_36;2;49.7952;13.4233
37;Referee_37;1;49.1288;16.6635
38;Referee_38;3;50.1226;14.4679
39;Referee_39;3;49.1394;16.6031
40;Referee_40;2;49.1599;16.6627
